date,store_nbr,family,unit_sales,n_items_on_promo,city,state,type,cluster,oil_price,is_holiday
2013-01-02,3,BEVERAGES,4486.0,0,Quito,Pichincha,D,8,93.14,False
2013-01-03,3,BEVERAGES,3367.0,0,Quito,Pichincha,D,8,92.97,False
2013-01-04,3,BEVERAGES,3283.0,0,Quito,Pichincha,D,8,93.12,False
2013-01-05,3,BEVERAGES,4886.0,0,Quito,Pichincha,D,8,93.12,False
2013-01-06,3,BEVERAGES,5474.0,0,Quito,Pichincha,D,8,93.12,False
2013-01-07,3,BEVERAGES,3732.0,0,Quito,Pichincha,D,8,93.2,False
2013-01-08,3,BEVERAGES,2998.0,0,Quito,Pichincha,D,8,93.21,False
2013-01-09,3,BEVERAGES,2781.0,0,Quito,Pichincha,D,8,93.08,False
2013-01-10,3,BEVERAGES,2554.0,0,Quito,Pichincha,D,8,93.81,False
2013-01-11,3,BEVERAGES,3142.0,0,Quito,Pichincha,D,8,93.6,False
2013-01-12,3,BEVERAGES,4851.0,0,Quito,Pichincha,D,8,93.6,False
2013-01-13,3,BEVERAGES,4691.0,0,Quito,Pichincha,D,8,93.6,False
2013-01-14,3,BEVERAGES,3147.0,0,Quito,Pichincha,D,8,94.27,False
2013-01-15,3,BEVERAGES,2896.0,0,Quito,Pichincha,D,8,93.26,False
2013-01-16,3,BEVERAGES,3391.0,0,Quito,Pichincha,D,8,94.28,False
2013-01-17,3,BEVERAGES,2552.0,0,Quito,Pichincha,D,8,95.49,False
2013-01-18,3,BEVERAGES,3227.0,0,Quito,Pichincha,D,8,95.61,False
2013-01-19,3,BEVERAGES,4909.0,0,Quito,Pichincha,D,8,95.61,False
2013-01-20,3,BEVERAGES,5870.0,0,Quito,Pichincha,D,8,95.61,False
2013-01-21,3,BEVERAGES,3528.0,0,Quito,Pichincha,D,8,95.61,False
2013-01-22,3,BEVERAGES,2703.0,0,Quito,Pichincha,D,8,96.09,False
2013-01-23,3,BEVERAGES,2837.0,0,Quito,Pichincha,D,8,95.06,False
2013-01-24,3,BEVERAGES,2441.0,0,Quito,Pichincha,D,8,95.35,False
2013-01-25,3,BEVERAGES,2732.0,0,Quito,Pichincha,D,8,95.15,False
2013-01-26,3,BEVERAGES,4355.0,0,Quito,Pichincha,D,8,95.15,False
2013-01-27,3,BEVERAGES,4447.0,0,Quito,Pichincha,D,8,95.15,False
2013-01-28,3,BEVERAGES,2629.0,0,Quito,Pichincha,D,8,95.95,False
2013-01-29,3,BEVERAGES,2734.0,0,Quito,Pichincha,D,8,97.62,False
2013-01-30,3,BEVERAGES,2650.0,0,Quito,Pichincha,D,8,97.98,False
2013-01-31,3,BEVERAGES,2625.0,0,Quito,Pichincha,D,8,97.65,False
2013-02-01,3,BEVERAGES,3562.0,0,Quito,Pichincha,D,8,97.46,False
2013-02-02,3,BEVERAGES,4475.0,0,Quito,Pichincha,D,8,97.46,False
2013-02-03,3,BEVERAGES,4977.0,0,Quito,Pichincha,D,8,97.46,False
2013-02-04,3,BEVERAGES,2534.0,0,Quito,Pichincha,D,8,96.21,False
2013-02-05,3,BEVERAGES,2366.0,0,Quito,Pichincha,D,8,96.68,False
2013-02-06,3,BEVERAGES,2759.0,0,Quito,Pichincha,D,8,96.44,False
2013-02-07,3,BEVERAGES,2435.0,0,Quito,Pichincha,D,8,95.84,False
2013-02-08,3,BEVERAGES,3339.0,0,Quito,Pichincha,D,8,95.71,False
2013-02-09,3,BEVERAGES,3251.0,0,Quito,Pichincha,D,8,95.71,False
2013-02-10,3,BEVERAGES,2405.0,0,Quito,Pichincha,D,8,95.71,False
2013-02-11,3,BEVERAGES,2379.0,0,Quito,Pichincha,D,8,97.01,True
2013-02-12,3,BEVERAGES,2767.0,0,Quito,Pichincha,D,8,97.48,True
2013-02-13,3,BEVERAGES,2397.0,0,Quito,Pichincha,D,8,97.03,False
2013-02-14,3,BEVERAGES,2107.0,0,Quito,Pichincha,D,8,97.3,False
2013-02-15,3,BEVERAGES,2927.0,0,Quito,Pichincha,D,8,95.95,False
2013-02-16,3,BEVERAGES,5313.0,0,Quito,Pichincha,D,8,95.95,False
2013-02-17,3,BEVERAGES,4573.0,0,Quito,Pichincha,D,8,95.95,False
2013-02-18,3,BEVERAGES,2994.0,0,Quito,Pichincha,D,8,95.95,False
2013-02-19,3,BEVERAGES,2482.0,0,Quito,Pichincha,D,8,96.69,False
2013-02-20,3,BEVERAGES,2587.0,0,Quito,Pichincha,D,8,94.92,False
2013-02-21,3,BEVERAGES,2320.0,0,Quito,Pichincha,D,8,92.79,False
2013-02-22,3,BEVERAGES,2259.0,0,Quito,Pichincha,D,8,93.12,False
2013-02-23,3,BEVERAGES,4012.0,0,Quito,Pichincha,D,8,93.12,False
2013-02-24,3,BEVERAGES,4227.0,0,Quito,Pichincha,D,8,93.12,False
2013-02-25,3,BEVERAGES,2899.0,0,Quito,Pichincha,D,8,92.74,False
2013-02-26,3,BEVERAGES,2258.0,0,Quito,Pichincha,D,8,92.63,False
2013-02-27,3,BEVERAGES,2844.0,0,Quito,Pichincha,D,8,92.84,False
2013-02-28,3,BEVERAGES,2496.0,0,Quito,Pichincha,D,8,92.03,False
2013-03-01,3,BEVERAGES,3208.0,0,Quito,Pichincha,D,8,90.71,False
2013-03-02,3,BEVERAGES,5334.0,0,Quito,Pichincha,D,8,90.71,True
2013-03-03,3,BEVERAGES,5442.0,0,Quito,Pichincha,D,8,90.71,False
2013-03-04,3,BEVERAGES,3606.0,0,Quito,Pichincha,D,8,90.13,False
2013-03-05,3,BEVERAGES,3182.0,0,Quito,Pichincha,D,8,90.88,False
2013-03-06,3,BEVERAGES,3422.0,0,Quito,Pichincha,D,8,90.47,False
2013-03-07,3,BEVERAGES,2637.0,0,Quito,Pichincha,D,8,91.53,False
2013-03-08,3,BEVERAGES,2933.0,0,Quito,Pichincha,D,8,92.01,False
2013-03-09,3,BEVERAGES,4436.0,0,Quito,Pichincha,D,8,92.01,False
2013-03-10,3,BEVERAGES,5036.0,0,Quito,Pichincha,D,8,92.01,False
2013-03-11,3,BEVERAGES,3217.0,0,Quito,Pichincha,D,8,92.07,False
2013-03-12,3,BEVERAGES,2573.0,0,Quito,Pichincha,D,8,92.44,False
2013-03-13,3,BEVERAGES,2794.0,0,Quito,Pichincha,D,8,92.47,False
2013-03-14,3,BEVERAGES,2515.0,0,Quito,Pichincha,D,8,93.03,False
2013-03-15,3,BEVERAGES,3061.0,0,Quito,Pichincha,D,8,93.49,False
2013-03-16,3,BEVERAGES,4779.0,0,Quito,Pichincha,D,8,93.49,False
2013-03-17,3,BEVERAGES,5305.0,0,Quito,Pichincha,D,8,93.49,False
2013-03-18,3,BEVERAGES,2724.0,0,Quito,Pichincha,D,8,93.71,False
2013-03-19,3,BEVERAGES,2417.0,0,Quito,Pichincha,D,8,92.44,False
2013-03-20,3,BEVERAGES,3216.0,0,Quito,Pichincha,D,8,93.21,False
2013-03-21,3,BEVERAGES,2802.0,0,Quito,Pichincha,D,8,92.46,False
2013-03-22,3,BEVERAGES,2733.0,0,Quito,Pichincha,D,8,93.41,False
2013-03-23,3,BEVERAGES,4418.0,0,Quito,Pichincha,D,8,93.41,False
2013-03-24,3,BEVERAGES,4518.0,0,Quito,Pichincha,D,8,93.41,False
2013-03-25,3,BEVERAGES,3153.0,0,Quito,Pichincha,D,8,94.55,False
2013-03-26,3,BEVERAGES,2371.0,0,Quito,Pichincha,D,8,95.99,False
2013-03-27,3,BEVERAGES,2750.0,0,Quito,Pichincha,D,8,96.53,False
2013-03-28,3,BEVERAGES,2985.0,0,Quito,Pichincha,D,8,97.24,False
2013-03-29,3,BEVERAGES,3737.0,0,Quito,Pichincha,D,8,97.24,False
2013-03-30,3,BEVERAGES,4243.0,0,Quito,Pichincha,D,8,97.24,False
2013-03-31,3,BEVERAGES,4748.0,0,Quito,Pichincha,D,8,97.24,False
2013-04-01,3,BEVERAGES,3721.0,0,Quito,Pichincha,D,8,97.1,True
2013-04-02,3,BEVERAGES,3618.0,0,Quito,Pichincha,D,8,97.23,False
2013-04-03,3,BEVERAGES,3353.0,0,Quito,Pichincha,D,8,95.02,False
2013-04-04,3,BEVERAGES,2921.0,0,Quito,Pichincha,D,8,93.26,False
2013-04-05,3,BEVERAGES,2973.0,0,Quito,Pichincha,D,8,92.76,False
2013-04-06,3,BEVERAGES,5072.0,0,Quito,Pichincha,D,8,92.76,False
2013-04-07,3,BEVERAGES,5629.0,0,Quito,Pichincha,D,8,92.76,False
2013-04-08,3,BEVERAGES,3057.0,0,Quito,Pichincha,D,8,93.36,False
2013-04-09,3,BEVERAGES,2947.0,0,Quito,Pichincha,D,8,94.18,False
2013-04-10,3,BEVERAGES,2992.0,0,Quito,Pichincha,D,8,94.59,False
2013-04-11,3,BEVERAGES,2347.0,0,Quito,Pichincha,D,8,93.44,False
2013-04-12,3,BEVERAGES,2870.0,0,Quito,Pichincha,D,8,91.23,True
2013-04-13,3,BEVERAGES,4917.0,0,Quito,Pichincha,D,8,91.23,False
2013-04-14,3,BEVERAGES,4995.0,0,Quito,Pichincha,D,8,91.23,True
2013-04-15,3,BEVERAGES,3380.0,0,Quito,Pichincha,D,8,88.75,False
2013-04-16,3,BEVERAGES,3432.0,0,Quito,Pichincha,D,8,88.73,False
2013-04-17,3,BEVERAGES,3126.0,0,Quito,Pichincha,D,8,86.65,False
2013-04-18,3,BEVERAGES,2533.0,0,Quito,Pichincha,D,8,87.83,False
2013-04-19,3,BEVERAGES,2869.0,0,Quito,Pichincha,D,8,88.04,False
2013-04-20,3,BEVERAGES,4318.0,0,Quito,Pichincha,D,8,88.04,False
2013-04-21,3,BEVERAGES,4830.0,0,Quito,Pichincha,D,8,88.04,True
2013-04-22,3,BEVERAGES,2956.0,0,Quito,Pichincha,D,8,88.81,False
2013-04-23,3,BEVERAGES,2486.0,0,Quito,Pichincha,D,8,89.21,False
2013-04-24,3,BEVERAGES,3001.0,0,Quito,Pichincha,D,8,91.07,False
2013-04-25,3,BEVERAGES,3162.0,0,Quito,Pichincha,D,8,93.27,False
2013-04-26,3,BEVERAGES,3136.0,0,Quito,Pichincha,D,8,92.63,False
2013-04-27,3,BEVERAGES,4468.0,0,Quito,Pichincha,D,8,92.63,False
2013-04-28,3,BEVERAGES,5134.0,0,Quito,Pichincha,D,8,92.63,False
2013-04-29,3,BEVERAGES,3386.0,0,Quito,Pichincha,D,8,94.09,True
2013-04-30,3,BEVERAGES,2821.0,0,Quito,Pichincha,D,8,93.22,False
2013-05-01,3,BEVERAGES,4399.0,0,Quito,Pichincha,D,8,90.74,True
2013-05-02,3,BEVERAGES,3249.0,0,Quito,Pichincha,D,8,93.7,False
2013-05-03,3,BEVERAGES,2986.0,0,Quito,Pichincha,D,8,95.25,False
2013-05-04,3,BEVERAGES,4857.0,0,Quito,Pichincha,D,8,95.25,False
2013-05-05,3,BEVERAGES,4903.0,0,Quito,Pichincha,D,8,95.25,False
2013-05-06,3,BEVERAGES,3084.0,0,Quito,Pichincha,D,8,95.8,False
2013-05-07,3,BEVERAGES,2569.0,0,Quito,Pichincha,D,8,95.28,False
2013-05-08,3,BEVERAGES,2933.0,0,Quito,Pichincha,D,8,96.24,False
2013-05-09,3,BEVERAGES,2536.0,0,Quito,Pichincha,D,8,96.09,False
2013-05-10,3,BEVERAGES,3022.0,0,Quito,Pichincha,D,8,95.81,False
