store_nbr,family,date
3,BEVERAGES,2013-12-30
3,BEVERAGES,2014-01-30
3,BEVERAGES,2014-03-01
3,BEVERAGES,2014-03-31
3,BEVERAGES,2014-06-29
3,BEVERAGES,2014-07-29
3,BEVERAGES,2014-09-02
3,BEVERAGES,2014-10-07
3,BEVERAGES,2014-12-27
3,BEVERAGES,2015-02-16
3,BEVERAGES,2015-05-22
3,BEVERAGES,2015-07-06
3,DAIRY,2013-11-04
3,DAIRY,2014-01-10
3,GROCERY I,2014-12-01
3,GROCERY I,2014-12-27
3,GROCERY I,2016-12-04
3,GROCERY I,2017-01-05
3,POULTRY,2013-11-04
3,POULTRY,2013-12-04
3,PRODUCE,2013-12-31
3,PRODUCE,2014-01-31
3,PRODUCE,2014-03-03
3,PRODUCE,2014-04-04
3,PRODUCE,2014-05-09
3,PRODUCE,2014-06-29
3,PRODUCE,2014-07-29
3,PRODUCE,2014-09-03
3,PRODUCE,2014-10-08
3,PRODUCE,2015-01-03
3,PRODUCE,2015-02-03
3,PRODUCE,2015-06-03
3,PRODUCE,2015-07-03
8,BEVERAGES,2013-12-30
8,BEVERAGES,2014-01-30
8,BEVERAGES,2014-03-01
8,BEVERAGES,2014-03-31
8,BEVERAGES,2014-06-29
8,BEVERAGES,2014-07-29
8,BEVERAGES,2014-09-02
8,BEVERAGES,2014-10-07
8,BEVERAGES,2015-01-02
8,BEVERAGES,2015-02-06
8,BEVERAGES,2015-05-22
8,BEVERAGES,2015-06-21
8,DAIRY,2013-11-04
8,DAIRY,2014-01-20
8,GROCERY I,2014-12-01
8,GROCERY I,2014-12-27
8,GROCERY I,2015-11-28
8,GROCERY I,2015-12-23
8,GROCERY I,2016-03-29
8,GROCERY I,2016-04-23
8,GROCERY I,2016-11-29
8,GROCERY I,2016-12-24
8,POULTRY,2013-11-04
8,POULTRY,2013-12-04
8,PRODUCE,2014-01-02
8,PRODUCE,2014-02-01
8,PRODUCE,2014-06-29
8,PRODUCE,2014-07-30
8,PRODUCE,2014-09-03
8,PRODUCE,2014-10-08
8,PRODUCE,2015-01-03
8,PRODUCE,2015-02-13
8,PRODUCE,2015-06-02
8,PRODUCE,2015-07-02
44,BEVERAGES,2013-12-30
44,BEVERAGES,2014-01-30
44,BEVERAGES,2014-03-01
44,BEVERAGES,2014-03-31
44,BEVERAGES,2014-06-29
44,BEVERAGES,2014-07-29
44,BEVERAGES,2014-09-02
44,BEVERAGES,2014-10-07
44,BEVERAGES,2015-01-02
44,BEVERAGES,2015-02-16
44,BREAD/BAKERY,2014-08-13
44,BREAD/BAKERY,2014-10-07
44,BREAD/BAKERY,2014-11-26
44,DAIRY,2013-11-04
44,DAIRY,2014-01-05
44,POULTRY,2013-11-04
44,POULTRY,2013-12-14
44,PRODUCE,2013-12-30
44,PRODUCE,2014-01-30
44,PRODUCE,2014-03-01
44,PRODUCE,2014-03-31
44,PRODUCE,2014-05-05
44,PRODUCE,2014-06-29
44,PRODUCE,2014-07-29
44,PRODUCE,2014-09-02
44,PRODUCE,2014-10-07
44,PRODUCE,2015-01-02
44,PRODUCE,2015-02-02
44,PRODUCE,2015-06-02
44,PRODUCE,2015-07-02
45,BEVERAGES,2013-12-30
45,BEVERAGES,2014-01-30
45,BEVERAGES,2014-03-01
45,BEVERAGES,2014-03-31
45,BEVERAGES,2014-06-29
45,BEVERAGES,2014-08-03
45,BEVERAGES,2014-09-02
45,BEVERAGES,2014-10-07
45,BEVERAGES,2015-01-02
45,BEVERAGES,2015-02-11
45,BEVERAGES,2015-05-22
45,BEVERAGES,2015-06-21
45,DAIRY,2013-11-04
45,DAIRY,2014-01-10
45,GROCERY I,2016-04-13
45,GROCERY I,2016-05-08
45,POULTRY,2013-11-04
45,POULTRY,2013-12-09
45,PRODUCE,2013-12-31
45,PRODUCE,2014-01-31
45,PRODUCE,2014-03-02
45,PRODUCE,2014-04-01
45,PRODUCE,2014-05-06
45,PRODUCE,2014-07-01
45,PRODUCE,2014-07-31
45,PRODUCE,2014-08-30
45,PRODUCE,2014-10-04
45,PRODUCE,2015-01-04
45,PRODUCE,2015-02-03
45,PRODUCE,2015-05-30
45,PRODUCE,2015-07-04
46,BEVERAGES,2013-12-30
46,BEVERAGES,2014-01-30
46,BEVERAGES,2014-03-01
46,BEVERAGES,2014-03-31
46,BEVERAGES,2014-06-29
46,BEVERAGES,2014-07-29
46,BEVERAGES,2014-09-02
46,BEVERAGES,2014-10-07
46,BEVERAGES,2015-01-02
46,BEVERAGES,2015-02-16
46,DAIRY,2013-11-04
46,DAIRY,2014-01-10
46,GROCERY I,2016-10-30
46,GROCERY I,2017-01-05
46,PRODUCE,2014-01-02
46,PRODUCE,2014-02-01
46,PRODUCE,2014-03-03
46,PRODUCE,2014-04-02
46,PRODUCE,2014-05-05
46,PRODUCE,2014-07-01
46,PRODUCE,2014-07-31
46,PRODUCE,2014-09-01
46,PRODUCE,2014-10-06
46,PRODUCE,2014-12-31
46,PRODUCE,2015-02-07
46,PRODUCE,2015-05-31
46,PRODUCE,2015-07-05
47,BEVERAGES,2013-12-30
47,BEVERAGES,2014-01-30
47,BEVERAGES,2014-03-01
47,BEVERAGES,2014-03-31
47,BEVERAGES,2014-06-29
47,BEVERAGES,2014-08-03
47,BEVERAGES,2014-09-02
47,BEVERAGES,2014-10-07
47,BEVERAGES,2015-01-02
47,BEVERAGES,2015-02-16
47,BREAD/BAKERY,2014-08-28
47,BREAD/BAKERY,2014-10-07
47,CLEANING,2016-12-04
47,CLEANING,2017-01-10
47,DAIRY,2013-11-04
47,DAIRY,2014-01-10
47,GROCERY I,2014-12-01
47,GROCERY I,2014-12-27
47,GROCERY I,2015-02-16
47,GROCERY I,2016-10-30
47,GROCERY I,2017-01-05
47,POULTRY,2013-11-04
47,POULTRY,2013-12-09
47,PRODUCE,2014-01-03
47,PRODUCE,2014-02-02
47,PRODUCE,2014-02-28
47,PRODUCE,2014-04-05
47,PRODUCE,2014-05-08
47,PRODUCE,2014-06-29
47,PRODUCE,2014-07-29
47,PRODUCE,2014-09-03
47,PRODUCE,2014-10-08
47,PRODUCE,2015-01-03
47,PRODUCE,2015-02-04
47,PRODUCE,2015-06-01
47,PRODUCE,2015-07-06
48,BEVERAGES,2013-12-30
48,BEVERAGES,2014-01-30
48,BEVERAGES,2014-03-01
48,BEVERAGES,2014-03-31
48,BEVERAGES,2014-06-29
48,BEVERAGES,2014-07-29
48,BEVERAGES,2014-09-02
48,BEVERAGES,2014-10-07
48,BEVERAGES,2015-01-02
48,BEVERAGES,2015-02-16
48,DAIRY,2013-11-04
48,DAIRY,2014-01-05
48,PRODUCE,2014-01-03
48,PRODUCE,2014-02-02
48,PRODUCE,2014-02-28
48,PRODUCE,2014-04-04
48,PRODUCE,2014-07-01
48,PRODUCE,2014-07-31
48,PRODUCE,2014-08-31
48,PRODUCE,2014-12-30
48,PRODUCE,2015-02-03
48,PRODUCE,2015-06-02
48,PRODUCE,2015-07-07
49,BEVERAGES,2013-12-30
49,BEVERAGES,2014-01-30
49,BEVERAGES,2014-03-01
49,BEVERAGES,2014-03-31
49,BEVERAGES,2014-06-29
49,BEVERAGES,2014-07-29
49,BEVERAGES,2014-09-02
49,BEVERAGES,2014-10-07
49,BEVERAGES,2014-12-27
49,BEVERAGES,2015-02-16
49,BEVERAGES,2015-05-22
49,BEVERAGES,2015-06-21
49,CLEANING,2016-11-29
49,CLEANING,2017-01-10
49,DAIRY,2013-11-04
49,DAIRY,2014-01-05
49,DAIRY,2016-08-26
49,DAIRY,2017-01-10
49,GROCERY I,2014-12-01
49,GROCERY I,2014-12-27
49,GROCERY I,2015-11-28
49,GROCERY I,2015-12-23
49,GROCERY I,2016-11-24
49,GROCERY I,2016-12-24
49,POULTRY,2013-11-04
49,POULTRY,2013-12-24
49,PRODUCE,2014-01-03
49,PRODUCE,2014-02-02
49,PRODUCE,2014-02-27
49,PRODUCE,2014-04-03
49,PRODUCE,2014-05-04
49,PRODUCE,2014-07-01
49,PRODUCE,2014-07-31
49,PRODUCE,2014-08-30
49,PRODUCE,2014-10-04
49,PRODUCE,2015-01-04
49,PRODUCE,2015-01-29
49,PRODUCE,2015-06-02
49,PRODUCE,2015-07-07
50,BEVERAGES,2013-12-30
50,BEVERAGES,2014-01-30
50,BEVERAGES,2014-03-01
50,BEVERAGES,2014-03-31
50,BEVERAGES,2014-06-29
50,BEVERAGES,2014-07-29
50,BEVERAGES,2014-09-02
50,BEVERAGES,2014-10-07
50,BEVERAGES,2015-01-02
50,BEVERAGES,2015-02-01
50,BEVERAGES,2015-05-22
50,BEVERAGES,2015-06-21
50,CLEANING,2016-12-14
50,CLEANING,2017-01-10
50,DAIRY,2013-11-04
50,DAIRY,2014-01-05
50,GROCERY I,2013-11-29
50,GROCERY I,2014-01-05
50,GROCERY I,2014-12-01
50,GROCERY I,2014-12-27
50,GROCERY I,2015-11-28
50,GROCERY I,2016-01-04
50,GROCERY I,2016-02-08
50,GROCERY I,2016-10-30
50,GROCERY I,2017-01-05
50,MEATS,2014-01-05
50,MEATS,2014-02-14
50,POULTRY,2013-11-04
50,POULTRY,2013-12-24
50,PRODUCE,2013-12-30
50,PRODUCE,2014-01-30
50,PRODUCE,2014-03-01
50,PRODUCE,2014-03-31
50,PRODUCE,2014-05-04
50,PRODUCE,2014-06-28
50,PRODUCE,2014-08-02
50,PRODUCE,2014-08-30
50,PRODUCE,2014-10-09
50,PRODUCE,2015-01-04
50,PRODUCE,2015-02-04
50,PRODUCE,2015-06-01
50,PRODUCE,2015-07-06
51,BEVERAGES,2013-12-30
51,BEVERAGES,2014-01-30
51,BEVERAGES,2014-03-01
51,BEVERAGES,2014-06-29
51,BEVERAGES,2014-07-29
51,BEVERAGES,2014-09-02
51,BEVERAGES,2015-01-02
51,BEVERAGES,2015-02-06
51,BEVERAGES,2015-04-27
51,BEVERAGES,2015-07-06
51,BEVERAGES,2016-04-13
51,BEVERAGES,2016-05-08
51,DAIRY,2013-11-04
51,DAIRY,2014-01-05
51,DAIRY,2016-12-09
51,DAIRY,2017-01-05
51,GROCERY I,2014-12-01
51,GROCERY I,2014-12-27
51,GROCERY I,2015-12-08
51,GROCERY I,2016-01-04
51,GROCERY I,2016-04-13
51,GROCERY I,2016-05-08
51,GROCERY I,2016-11-29
51,GROCERY I,2017-01-05
51,PRODUCE,2014-01-02
51,PRODUCE,2014-02-01
51,PRODUCE,2014-03-04
51,PRODUCE,2014-04-03
51,PRODUCE,2014-05-03
51,PRODUCE,2014-06-28
51,PRODUCE,2014-08-02
51,PRODUCE,2014-09-01
51,PRODUCE,2014-10-06
51,PRODUCE,2014-12-31
51,PRODUCE,2015-02-05
51,PRODUCE,2015-06-02
51,PRODUCE,2015-07-02
